ID,Name,Source,SpectralData,AngularFunction,Thickness,Tsol,Rsol1,Rsol2,Tvis,Rvis1,Rvis2,Tir,emis1,emis2,Conductivity,Comment,Manufacturer,ProductName,Color,Certification,Status,Timestamp,Specularity,Tvis2,Tsol2,MaterialID
25270,GRL_090PVB_SB70XLSTRLAM_6.PPG,IGDB v31.0,1,0,13.60931969,0.023632117,0.045269564,0.492356926,0.060570948,0.044306926,0.122422047,0,0.839999974,0.839999974,0.610937059,,PPG Industries,6mmGrayliteII_090PVB_6mmSB70XLStarphire,4408899,#,256,1457602046,0,0.060570948,0.023632117,
5813,ss08_8.gja,IGDB v13.6,1,0,5.836999893,0.028688651,0.134590894,0.482341796,0.060723491,0.275126696,0.367292225,0,0.839999974,0.419999987,1,,G.James Australia,Solarplus SS08 on Evergreen,4147262, ,256,1457602046,0,0.060723491,0.028688651,
14101,SSTSilver20T_Grey10.GTS,IGDB v43.0,1,0,9.800000191,0.057416514,0.338231146,0.06478399,0.060947314,0.282504261,0.065332778,0,0.44888705,0.846193492,1,,Glas Trösch AG,SUNSTOP Silver 20 T on Grey 10 mm,4998723, ,256,1457602046,0,0.060947314,0.057416514,
5812,ss08_7.gja,IGDB v13.6,1,0,6.038000107,0.026887884,0.136252284,0.493347019,0.061600588,0.275520474,0.382252157,0,0.839999974,0.419999987,1,,G.James Australia,Solarplus SS08 on Azurlite,4737593, ,256,1457602046,0,0.061600588,0.026887884,
255,GrSil15_3.bsf,IGDB v16.3,1,0,3.251199961,0.069054447,0.350503057,0.648710549,0.062831439,0.135743022,0.608026266,0,0.839999974,0.730000019,0.964999974,,Saint-Gobain Solar Gard LLC,Grey/Silver 15,5392704,#,256,1457602046,0,0.062831439,0.069054447,
5788,te10_7.gja,IGDB v13.7,1,0,6.079999924,0.023352699,0.084207222,0.443736404,0.06324897,0.143206865,0.284151673,0,0.839999974,0.409999996,1,,G.James Australia,Solarplus TE10 on Azurlite,4082493, ,256,1457602046,0,0.06324897,0.023352699,
9203,Optitune-05-SR-WA.hct,IGDB v17.2,1,0,3,0.058757659,0.562354624,0.26482147,0.063281469,0.63139379,0.145532832,0,0.839999974,0.75,1,,Hanita Coatings,Optitune 05-SR-WA on Clear,5261632,#,256,1457602047,0,0.063281469,0.058757659,
11253,COOL-LITE ST 408 6mm.SGG,IGDB v17.3,1,0,6,0.033068482,0.484765708,0.158724561,0.063901059,0.376409203,0.315083236,0,0.147,0.837000012,1,,Saint-Gobain Glass,SGG COOL-LITE ST 408 6mm,4475203,#,256,1457602047,0,0.063901059,0.033068482,
5800,ss14_3.gja,IGDB v13.6,1,0,5.873000145,0.05238805,0.105719425,0.450090796,0.064094901,0.104124218,0.35429433,0,0.839999974,0.449999988,1,,G.James Australia,Solarplus SS14 on Grey,4540487, ,256,1457602047,0,0.064094901,0.05238805,
11257,COOL-LITE ST 408-H 6mm.SGG,IGDB v16.4,1,0,6,0.038479555,0.484765708,0.184565917,0.064842135,0.376409203,0.322428524,0,0.147,0.837000012,1,,Saint-Gobain Glass,SGG COOL-LITE ST 408-H 6mm,4540741, ,256,1457602047,0,0.064842135,0.038479555,
